file_name,match_type,data,teamA,teamB,who_played_first,who_played_second,neutral_venue,city,home_ground_of_team,venue,winner,winner_by_runs,winner_by_wickets,toss_winner,toss_winner_decided_to,umpire_1,umpire_2,player_of_match
2006-12-05_ODIBanZim.yaml,ODI,2006-12-05,Bangladesh,Zimbabwe,Bangladesh,Zimbabwe,no,Bogra,Bangladesh,Shaheed Chandu Stadium,Bangladesh,26,NA,Zimbabwe,field,Enamul Haque,SL Shastri,Abdur Razzak
2006-12-07_ODIPakWes.yaml,ODI,2006-12-07,Pakistan,West Indies,West Indies,Pakistan,no,Faisalabad,Pakistan,Iqbal Stadium,Pakistan,NA,2,Pakistan,field,Aleem Dar,DJ Harper,Inzamam-ul-Haq
2006-12-08_ODIBanZim.yaml,ODI,2006-12-08,Bangladesh,Zimbabwe,Zimbabwe,Bangladesh,no,Mirpur,Bangladesh,Shere Bangla National Stadium,Bangladesh,NA,8,Bangladesh,field,Nadeem Ghauri,Nadir Shah,Aftab Ahmed
2006-12-09_ODIBanZim.yaml,ODI,2006-12-09,Bangladesh,Zimbabwe,Zimbabwe,Bangladesh,no,Mirpur,Bangladesh,Shere Bangla National Stadium,Bangladesh,NA,3,Bangladesh,field,Nadir Shah,SL Shastri,GB Brent
2006-12-10_ODIPakWes.yaml,ODI,2006-12-10,Pakistan,West Indies,West Indies,Pakistan,no,Lahore,Pakistan,Gaddafi Stadium,Pakistan,NA,7,Pakistan,field,Asad Rauf,NJ Llong,Naved-ul-Hasan
2006-12-13_ODIPakWes.yaml,ODI,2006-12-13,Pakistan,West Indies,Pakistan,West Indies,no,NA,Pakistan,Multan Cricket Stadium,West Indies,NA,7,Pakistan,bat,NJ Llong,Zameer Haider,MN Samuels
2006-12-16_ODIPakWes.yaml,ODI,2006-12-16,Pakistan,West Indies,West Indies,Pakistan,no,Karachi,Pakistan,National Stadium,Pakistan,NA,7,Pakistan,field,Asad Rauf,NJ Llong,Naved-ul-Hasan
2006-12-28_ODINewSri.yaml,ODI,2006-12-28,New Zealand,Sr	i Lanka,New Zealand,Sri Lanka,no,Napier,New Zealand,McLean Park,Sri Lanka,NA,7,New Zealand,bat,SJ Davis,AL Hill,ST Jayasuriya
2007-01-02_ODINewSri.yaml,ODI,2007-01-02,New Zealand,Sri Lanka,Sri Lanka,New Zealand,no,Christchurch,New Zealand,Jade Stadium,New Zealand,NA,4,New Zealand,field,SJ Davis,AL Hill,MJ Mason
2007-01-06_ODINewSri.yaml,ODI,2007-01-06,New Zealand,Sri Lanka,Sri Lanka,New Zealand,no,Auckland,New Zealand,Eden Park,Sri Lanka,189,NA,Sri Lanka,bat,GAV Baxter,SJ Davis,ST Jayasuriya
2007-01-12_ODIAusEng.yaml,ODI,2007-01-12,Australia,England,England,Australia,no,NA,Australia,Melbourne Cricket Ground,Australia,NA,8,England,bat,IL Howell,SJA Taufel,AC Gilchrist
2007-01-14_ODIAusNew.yaml,ODI,2007-01-14,Australia,New Zealand,Australia,New Zealand,no,Hobart,Australia,Bellerive Oval,Australia,105,NA,Australia,bat,Asad Rauf,DJ Harper,A Symonds
2007-01-16_ODIEngNew.yaml,ODI,2007-01-16,England,New Zealand,New Zealand,England,yes,Hobart,none,Bellerive Oval,England,NA,3,New Zealand,bat,Asad Rauf,SJ Davis,A Flintoff
2007-01-19_ODIAusEng.yaml,ODI,2007-01-19,Australia,England,England,Australia,no,Brisbane,Australia,Brisbane Cricket Ground- Woolloongabba,Australia,NA,4,England,bat,DJ Harper,IL Howell,MEK Hussey
2007-01-21_ODIAusNew.yaml,ODI,2007-01-21,Australia,New Zealand,New Zealand,Australia,no,NA,Australia,Sydney Cricket Ground,Australia,NA,2,New Zealand,bat,Asad Rauf,SJA Taufel,MJ Clarke
2007-01-23_ODIEngNew.yaml,ODI,2007-01-23,England,New Zealand,New Zealand,England,yes,NA,none,Adelaide Oval,New Zealand,90,NA,New Zealand,bat,DJ Harper,IL Howell,JDP Oram
